"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\licor-house\public\css\producto.css", "CSS", 0, 133, 0, 0, 0, 0, 2, 29, 164
"c:\xampp\htdocs\licor-house\public\index.php", "PHP", 0, 0, 14, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\licor-house\public\js\producto.js", "JavaScript", 77, 0, 0, 0, 0, 0, 9, 24, 110
"c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\css\adminlte.css", "CSS", 0, 43649, 0, 0, 0, 0, 21, 9342, 53012
"c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\css\adminlte.min.css", "CSS", 0, 2, 0, 0, 0, 0, 10, 0, 12
"c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\js\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 1, 58
"c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\js\adminlte.js", "JavaScript", 2191, 0, 0, 0, 0, 0, 330, 549, 3070
"c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\js\adminlte.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 4510, 0, 0, 0, 0, 0, 1272, 1191, 6973
"c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.js", "JavaScript", 3270, 0, 0, 0, 0, 0, 222, 866, 4358
"c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\all.css", "CSS", 0, 3110, 0, 0, 0, 0, 6, 1501, 4617
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\all.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\brands.css", "CSS", 0, 10, 0, 0, 0, 0, 4, 2, 16
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\brands.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\fontawesome.css", "CSS", 0, 3079, 0, 0, 0, 0, 6, 1498, 4583
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\fontawesome.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\regular.css", "CSS", 0, 10, 0, 0, 0, 0, 4, 2, 16
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\regular.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\solid.css", "CSS", 0, 11, 0, 0, 0, 0, 4, 2, 17
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\solid.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\svg-with-js.css", "CSS", 0, 312, 0, 0, 0, 0, 4, 56, 372
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\svg-with-js.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\v4-shims.css", "CSS", 0, 1556, 0, 0, 0, 0, 4, 613, 2173
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\v4-shims.min.css", "CSS", 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 3717, 0, 0, 1, 3718
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 801, 0, 0, 1, 802
"c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 5034, 0, 0, 1, 5035
"c:\xampp\htdocs\licor-house\public\vendor\jquery\jquery.js", "JavaScript", 6895, 0, 0, 0, 0, 0, 1911, 2076, 10882
"c:\xampp\htdocs\licor-house\public\vendor\jquery\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\licor-house\public\vendor\overlayScrollbars\css\OverlayScrollbars.css", "CSS", 0, 605, 0, 0, 0, 0, 24, 7, 636
"c:\xampp\htdocs\licor-house\public\vendor\overlayScrollbars\css\OverlayScrollbars.min.css", "CSS", 0, 1, 0, 0, 0, 0, 12, 0, 13
"c:\xampp\htdocs\licor-house\public\vendor\overlayScrollbars\js\OverlayScrollbars.js", "JavaScript", 4858, 0, 0, 0, 0, 0, 1125, 678, 6661
"c:\xampp\htdocs\licor-house\public\vendor\overlayScrollbars\js\OverlayScrollbars.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 12, 0, 13
"c:\xampp\htdocs\licor-house\public\vendor\overlayScrollbars\js\jquery.overlayScrollbars.js", "JavaScript", 3967, 0, 0, 0, 0, 0, 1067, 544, 5578
"c:\xampp\htdocs\licor-house\public\vendor\overlayScrollbars\js\jquery.overlayScrollbars.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 12, 0, 13
"c:\xampp\htdocs\licor-house\public\vendor\popper\esm\popper-utils.js", "JavaScript", 616, 0, 0, 0, 0, 0, 360, 138, 1114
"c:\xampp\htdocs\licor-house\public\vendor\popper\esm\popper-utils.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\licor-house\public\vendor\popper\esm\popper.js", "JavaScript", 1241, 0, 0, 0, 0, 0, 1051, 325, 2617
"c:\xampp\htdocs\licor-house\public\vendor\popper\esm\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\licor-house\public\vendor\popper\popper-utils.js", "JavaScript", 579, 0, 0, 0, 0, 0, 360, 124, 1063
"c:\xampp\htdocs\licor-house\public\vendor\popper\popper-utils.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\licor-house\public\vendor\popper\popper.js", "JavaScript", 1125, 0, 0, 0, 0, 0, 1051, 287, 2463
"c:\xampp\htdocs\licor-house\public\vendor\popper\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\licor-house\public\vendor\popper\umd\popper-utils.js", "JavaScript", 651, 0, 0, 0, 0, 0, 360, 141, 1152
"c:\xampp\htdocs\licor-house\public\vendor\popper\umd\popper-utils.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\licor-house\public\vendor\popper\umd\popper.js", "JavaScript", 1247, 0, 0, 0, 0, 0, 1051, 327, 2625
"c:\xampp\htdocs\licor-house\public\vendor\popper\umd\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\xampp\htdocs\licor-house\resources\css\app.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\licor-house\resources\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
